compressionCurves X,compressionCurves Y
-60,-59.84743353157255
-58.75,-58.59747203165148
-57.5,-57.34752389588338
-56.25,-56.0975936882427
-55,-54.84768762446065
-53.75,-53.59781339317203
-52.5,-52.34798458198529
-51.25,-51.09821477839851
-50,-49.84852629751208
-48.75,-48.59894931941191
-47.5,-47.34952627273103
-46.25,-46.10031802927641
-45,-44.8514132496308
-43.75,-43.6193737580147
-42.5,-42.37277605771784
-41.25,-41.1269676794696
-40,-39.88252059682169
-38.75,-38.64030785242417
-37.5,-37.40182728729405
-36.25,-36.1697038086681
-35,-34.94876398357704
-33.75,-33.74750966199715
-32.5,-32.57940118028365
-31.25,-31.46127499175127
-30,-30.40748532501557
-28.75,-29.4232610196492
-27.5,-28.50267238785725
-26.25,-27.63660110006746
-25,-26.8140969176153
-23.75,-26.00285982889183
-22.5,-25.15866090292537
-21.25,-24.2530593656663
-20,-23.27966773924106
-18.75,-22.25462225234138
-17.5,-21.21460844090482
-16.25,-20.2418116907769
-15,-19.51244285624388
-13.75,-19.1574526583541
-12.5,-19.08927425945141
-11.25,-19.19129397042089
-10,-18.77963949002433
